SKU;Vendor code;Name;Brand;Category;Price old;Price;Price unit;Available;Added;Updated;Url;Image url;Vendor code
3886188;;Мужские кроссовки RS-Z Core;PUMA;Кроссовки;12999;12999;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-puma-38359001/;https://street-beat.ru/upload/iblock/3a2/3a2245d4018b4bf211aa80880ebdef16.jpg;;
3865626;;Мужские кроссовки Forum Low;adidas Originals;Кроссовки;11999;11999;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-adidas-originals-gv7613/;https://street-beat.ru/upload/iblock/4ae/4aea0361a270820a40e0ee548cefbab3.jpg;;
3873974;;Мужские кроссовки CA Pro Classic Trainers;PUMA;Кроссовки;10999;10999;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-puma-38019001/;https://street-beat.ru/upload/iblock/6e0/6e07c2bf7c60f60ffca0cdd41424dc67.jpg;;
3876968;;Кеды Old Skool Platform;Vans;Кеды;9199;9199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va3b3ubka/;https://street-beat.ru/upload/iblock/620/6201afa4a169edc5025dca92a91c72f3.jpg;;
3877178;;Кеды Old Skool;Vans;Кеды;8599;8599;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va38g1odj/;https://street-beat.ru/upload/iblock/b27/b2732544f2f53e3752e0db4d54c46647.jpg;;
3873976;;Мужские кроссовки Ralph Sampson Mid;PUMA;Кроссовки;12499;12499;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-puma-37084718/;https://street-beat.ru/upload/iblock/573/573879e68ac03dfb49b8fd5de303cf17.jpg;;
3886694;;Мужские кроссовки PUMA x Helly Hansen RS-Connect;PUMA;Кроссовки;13499;13499;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-puma-38233601/;https://street-beat.ru/upload/iblock/2f5/2f5440679a0f1fb36f2b77df8430d8d7.jpg;;
3877180;;Кеды Old Skool;Vans;Кеды;8599;8599;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va38g1p0s/;https://street-beat.ru/upload/iblock/160/1602aff4d8177b148ec2701113c2238f.jpg;;
3878520;;Кеды Chuck 70 75Th Anniversary High Top Game Royal;Converse;Кеды;16199;16199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-converse-172830/;https://street-beat.ru/upload/iblock/e6b/e6b3f2e262318584e3a95a1b3b7f00a2.jpg;;
3879420;;Мужские кроссовки 574;New Balance;Кроссовки;18999;18999;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-new_balance-ml574wd2-d/;https://street-beat.ru/upload/iblock/315/315b3b0216c45d5707248878f82879c1.jpg;;
